[LOG] System::create                           : Header version = 2.02.21. Current version = 2.02.21.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20221 (141420), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 00000188E0946AC8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] SoundI::release                          :  (0000018B7EFD9FF8)
[LOG] SoundI::release                          :     QUEST (0000018A8E084C18)
[LOG] SoundI::release                          :  (0000018A89973508)
[LOG] SoundI::release                          :     Stone-003 (0000018A895F5508)
[LOG] SoundI::release                          :  (0000018A90F07068)
[LOG] SoundI::release                          :     Stone-002 (0000018A9045E028)
[LOG] SoundI::release                          :  (0000018A90F071D8)
[LOG] SoundI::release                          :     Stone-005 (0000018A9045FA28)
[LOG] SoundI::release                          :  (0000018A899737E8)
[LOG] SoundI::release                          :     Stone-006 (0000018A8E086AF8)
[LOG] SoundI::release                          :  (0000018B7F823B68)
[LOG] SoundI::release                          :     Stone-004 (0000018A895F6D68)
[LOG] SoundI::release                          :  (0000018A90F07348)
[LOG] SoundI::release                          :     Stone-001 (0000018A9045FD68)
[LOG] SoundI::release                          :  (0000018A92B9E868)
[LOG] SoundI::release                          :     DIRT-003 (0000018A9045DCE8)
[LOG] SoundI::release                          :  (0000018A92B9E418)
[LOG] SoundI::release                          :     DIRT-001 (0000018A904610E8)
[LOG] SoundI::release                          :  (0000018A90F07A78)
[LOG] SoundI::release                          :     DIRT-004 (0000018A90460C08)
[LOG] SoundI::release                          :  (0000018A92275E68)
[LOG] SoundI::release                          :     DIRT-006 (0000018A8E0850F8)
[LOG] SoundI::release                          :  (0000018A92275FD8)
[LOG] SoundI::release                          :     DIRT-008 (0000018A8E083F18)
[LOG] SoundI::release                          :  (0000018B7F2F2C98)
[LOG] SoundI::release                          :     DIRT-005 (0000018A895F5B88)
[LOG] SoundI::release                          :  (0000018A90F07798)
[LOG] SoundI::release                          :     DIRT-009 (0000018A9045E6A8)
[LOG] SoundI::release                          :  (0000018A90F06EF8)
[LOG] SoundI::release                          :     DIRT-007 (0000018A90460728)
[LOG] SoundI::release                          :  (0000018B7A50A458)
[LOG] SoundI::release                          :     DIRT-002 (0000018A9045F6E8)
[LOG] SoundI::release                          :  (0000018B7F2F29B8)
[LOG] SoundI::release                          :     SAND-001 (0000018A895F5D28)
[LOG] SoundI::release                          :  (0000018A92275A18)
[LOG] SoundI::release                          :     SAND-002 (0000018A8E084738)
[LOG] SoundI::release                          :  (0000018A92275B88)
[LOG] SoundI::release                          :     SAND-003 (0000018A8E083D78)
[LOG] SoundI::release                          :  (0000018A90F07908)
